date,product_category,sales_amount,customer_feedback,region
,1200,Great product, fast shipping!,North
,150,The shirt was too small, terrible quality.,South
,75,Fresh vegetables and good prices.,East,
,2200,The laptop is powerful but gets hot.,West,
,45,Interesting read.,North,
,80,Love the color, fits perfectly.,South
,999,Camera is amazing.,East,
,120,Delivery was late.,West,
,130,The plot was boring.,North,
,210,Good discount, but the fabric feels cheap.,South
,1150,Works as expected.,East,
,130,I hate the color, returning it.,West
,85,Good selection of organic products.,North,
,2500,Best purchase of the year! Fantastic laptop.,South,
,60,A classic, must-read.,East
,95,Very comfortable, I will buy another.,West
,850,Phone screen cracked easily.,North,
,110,The app is easy to use.,South,
,90,The author is a genius.,East,
,300,The jacket is warm and stylish.,West,
,1300,Customer service was very helpful.,North,
,160,It arrived damaged.,South,
,90,Why is everything so expensive?,East,
,1800,The processor is fast.,West,
,55,I couldn't put it down.,North,
